,Actual value,Predicted value
1490,0,5.600402010886158
1754,0,0.6108851785281857
1524,0,0.7814020186260962
665,20,21.849770745124317
4235,0,1.489285500505476
299,0,-0.4499117242707138
1820,0,0.1682214712029868
558,0,-0.31816236867176206
2656,1,-0.21024829884928975
5015,0,3.318622721195011
5407,1,1.4782909204467005
5967,6,1.714103248115718
4297,2,2.5675748238784664
2582,0,-0.20180019096157698
3332,4,7.5224121303632305
1745,1,-0.08991412464922055
5655,237,83.6725769911391
1444,0,0.08644104081434678
755,0,0.9616925536378398
608,1,0.848517317911142
2020,0,-0.09524581237750418
1926,4,7.23931187704143
3982,0,1.4889312187208548
3664,1,2.1105985598674897
496,0,-0.2031585624252943
3393,0,2.072134344310818
1913,0,-0.09355623631157828
4544,2,2.7047112175555323
4207,0,1.524824822205316
1960,3,7.071449973678362
89,0,-0.28492371559864593
1813,1,-0.09998439869180853
526,0,-0.20799841550681664
5963,0,1.51055531738003
3487,0,1.827008966015235
5966,1,1.9706029946758656
1072,2,5.396853541725457
5778,12,3.5247481440378623
510,0,5.6560322806122
2275,0,0.0025324142360250157
4509,1,1.5267071872138303
144,0,-0.20397141049456868
5931,0,1.4786086885783156
1665,0,-0.09351729341981763
557,1,-0.42322292073061973
2412,7,5.883765919412005
2605,2,-0.4386412795702068
945,0,0.4453107381664809
3084,0,1.1490846430570079
833,0,0.7623112108623027
4651,2,1.3794556657955246
1627,4,-0.0636902828147008
3106,0,2.513691367576219
2946,5,2.0183100114897377
2121,257,159.1025102699315
2712,0,-0.13748144590370281
507,0,-0.19982427438144845
1223,0,6.439136259885409
2875,0,-0.46591832604677075
1109,0,0.2697861272262312
4249,0,1.4889432886714289
5420,1,2.750936791973097
5899,3,1.714103248115718
189,0,-0.21213289317530326
194,3,6.71645757118382
3890,3,1.7424816277217383
2370,0,-0.45140575071718425
486,1,0.061116483188877746
173,0,-0.18390656562075214
1633,2,2.8789224975335364
1093,0,0.4947484116135934
3146,0,1.120999587880171
3163,0,1.1279265688221427
1228,0,0.3704723192685089
82,0,-0.20760600688257802
766,0,0.26386483004145855
5607,1,1.4889312187208548
4821,0,1.1778052344970749
3040,0,1.1529951040867492
2911,2,-0.1946741684426594
2122,0,0.08221979556797088
4071,0,1.4857416950122135
5216,0,1.8675114220274924
5923,0,1.4786331322807476
337,0,-0.02891069854115802
5103,0,2.380223815716132
391,0,-0.451300991992476
3879,0,1.4924312228448469
2881,0,5.756341434254207
1602,0,4.667254143358805
3969,3,3.97935482020448
3455,1,1.8355228897358948
1499,4,2.379491384700435
3931,1,1.7556323396301172
2515,1,-0.5167442986771036
3940,0,1.4782420330418367
2508,2,0.30398871374258185
5911,0,1.4786715438131406
2225,0,-0.09783684483528887
5551,0,1.5068154309079445
5468,0,1.9717241596968362
2887,6,4.154789789406052
432,0,-0.451035603223215
485,1,-0.1660827794297326
21,0,-0.20681464191761312
3477,1,2.1242325284295465
4203,0,2.321191809527016
2648,0,0.29745283203952066
3820,0,1.5810787395387562
4462,0,1.4820442433893795
3754,1,7.986035991598683
4677,0,1.370584195890837
4707,1,1.481922471465067
4949,0,1.4971108924696637
5881,2,2.2837526162858737
4833,0,1.5937496591141196
5811,0,1.7636662710965059
1635,0,-0.09362554410201618
5402,0,1.7282002805039616
5754,0,1.8541577880118738
4077,0,1.7743011795337829
2920,0,-0.4537418702781788
34,0,-0.49727671191201517
3354,0,1.8073868217167233
4532,0,1.1778052344970749
2063,0,-0.06861288015725453
355,9,6.894422731833243
1684,0,-0.09463175921858324
5435,1,1.472511730800294
2201,0,-0.09360459235707452
1105,0,0.26269153232472586
261,0,-0.23675071925707192
105,0,-0.4654517702630929
4711,2,1.6107644310208218
2216,0,-0.09792763573003604
1068,0,0.2674505390246047
3339,1,1.8398349258770184
4346,0,1.7530313626592289
2266,1,6.823289552964361
897,0,0.2592414783243333
1730,0,-0.06946491778488184
433,0,-0.2154521506704523
1357,1,-0.0774883733788001
3144,0,1.156462086515225
2374,0,-0.27250547960257343
3769,0,1.7670564304601966
4492,0,1.7848802166512154
473,0,-0.1743359261920494
3465,1,1.8504977699742176
1060,7,9.346876107596893
5498,0,1.4889312187208548
5859,3,2.2269783972863824
4104,8,4.5092256302816
3942,0,1.4817893304925893
4883,0,1.1209192728578947
4518,0,1.3698650993144321
2540,0,-0.4683457678618801
5066,0,2.2109462786998035
4946,0,1.1194945542018622
3724,1,1.767049446545216
5090,0,2.1476077109779608
1585,2,0.6098203019170438
2039,1,0.4008743933954486
3986,0,1.498579497266487
3557,0,1.87878535868549
5775,0,1.7271317415119372
3605,2,2.085750017924771
5561,0,1.987114582876501
5064,0,1.8393704955308117
3710,0,1.4675023658798514
1526,0,0.14775131259370644
2489,0,-0.41988164877179335
3864,4,2.4980471980985275
3130,0,1.1244595863936668
2442,0,-0.26679073926909536
2989,0,-0.467199874445702
986,0,0.6165166137434017
3693,0,2.0851389253639727
3077,0,1.3705876878483272
1185,0,0.5166080655027203
1212,0,6.1777064007083595
3816,0,1.4786051966208253
990,0,3.2571900187441525
1139,0,0.26390673353134186
2812,0,0.07577543604028003
5270,1,2.338798116406423
3718,0,1.545001125026046
581,0,-0.45126258046008294
3598,0,2.099942699685272
1539,0,0.12678825661892867
5819,0,1.514175945938078
1280,1,-0.07928969208441483
1027,0,0.309640445665317
3740,0,1.4779591844851243
4556,0,1.4272711159530713
5848,12,4.702364567098144
871,1,0.5262174011565923
1375,0,0.01837193341191634
1959,0,0.14914756423044873
1102,1,0.7571431137766944
3814,0,1.854273022609053
2289,4,2.682233075110034
5679,0,1.476537957786582
5978,7,4.107985857764616
1351,0,-0.09347538992993432
3973,0,1.4820861468792628
709,0,0.2782251257614923
3135,0,1.1566087487298167
162,0,-0.3148176047554456
308,0,-0.0030362991222581126
4877,1,1.6146096075769831
1625,1,0.15556098075475777
1929,0,1.1571692515283374
4311,0,1.592216489854633
2637,2,7.234574208025107
74,2,0.024236249812771504
3495,0,1.9528840139548915
946,2,0.5112000860690191
4861,0,1.1524713104632078
2509,6,1.0841129935903973
4230,3,1.485896707661805
3645,0,2.085220606906269
4215,1,1.5887683337336274
365,0,-0.43631024604480584
4703,0,1.1211287903073113
2022,0,-0.06621170368076434
5809,0,1.507081351036573
1332,0,-0.09521787671758197
136,0,-0.28835927040970954
825,0,0.26693722127353414
2733,0,-0.18903494178863967
5534,1,2.0380739146287232
5114,0,1.8640828511314096
1987,3,4.747955922907901
1699,4,2.674143803683167
598,2,0.26815887503576263
1400,0,-0.3598987650835581
3962,12,4.481029079131668
2741,0,-0.18903494178863967
620,0,0.5772274610583734
1521,0,-0.09873776986778005
3502,0,1.8469504725234644
3784,3,2.961918037486848
217,0,-0.44181653164760304
5612,0,2.04110197313216
1482,1,0.2991177835902672
4140,0,1.4592807038696387
1455,0,-0.062024619091839206
3437,0,2.0638170329283483
